index,success,reason,run_num,regression
1,1,,1,1
2,1,,1,1
3,1,,2,1
4,1,,2,1
5,1,,3,-1
6,1,,3,-1
7,1,,4,1
8,1,,4,0
9,1,,5,1
10,1,,5,1
11,1,,6,1
12,1,,6,0
13,1,,7,0
14,1,,7,-1
15,1,,8,0
16,1,,8,0
17,1,,9,1
18,1,,9,0
19,1,,10,0
20,1,,10,0
21,1,,11,-1
22,1,,11,-1
23,1,,12,1
24,1,,12,1
25,1,,13,1
26,1,,13,0
27,1,,14,-1
28,1,,14,-1
29,1,,15,1
30,1,,15,-1
31,1,,16,1
32,1,,16,1
33,1,,17,1
34,1,,17,-1
35,1,,18,1
36,1,,18,1
37,1,,19,1
38,1,,19,1
39,1,,20,-1
40,1,,20,1
41,1,,21,1
42,1,,21,1
43,1,,22,0
44,1,,22,0
45,1,,23,1
46,1,,23,-1
47,1,,24,1
48,1,,24,0
49,1,,25,-1
50,1,,25,-1
51,1,,26,1
52,1,,26,0
53,1,,27,1
54,1,,27,0
55,1,,28,1
56,1,,28,0
57,1,,29,0
58,1,,29,0
59,0,no manip,30,0
60,0,no manip,30,0
61,1,,31,1
62,1,,31,0
63,1,,32,1
64,1,,32,0
65,0,no manip,33,0
66,0,no manip,33,0
67,1,,34,1
68,1,,34,-1
69,1,,35,-1
70,1,,35,1
71,0,no manip,36,0
72,0,no manip,36,0
73,1,,37,1
74,1,,37,0
75,1,,38,1
76,1,,38,0
77,1,,39,0
78,1,,39,0
79,1,,40,1
80,1,,40,0
81,1,,41,1
82,1,,41,1
83,1,,42,1
84,1,,42,1
85,1,,43,0
86,1,,43,0
87,1,,44,0
88,1,,44,0
89,1,,45,-1
90,1,,45,-1
91,1,,46,-1
92,1,,46,0
93,1,,47,0
94,1,,47,1
95,1,,48,0
96,1,,48,0
97,1,,49,1
98,1,,49,1
99,1,,50,0
100,1,,50,0
101,1,,51,0
102,1,,51,0
103,1,,52,-1
104,1,,52,0
105,0,no manip,53,0
106,0,no manip,53,0
107,1,,54,0
108,1,,54,0
109,1,,55,0
110,1,,55,0
111,0,no manip,56,0
112,0,no manip,56,0
113,1,,57,1
114,1,,57,1
115,0,no manip,58,0
116,0,no manip,58,0
117,1,,59,1
118,1,,59,1
119,1,,60,1
120,1,,60,1
121,1,,61,1
122,1,,61,1
123,1,,62,1
124,1,,62,-1
125,1,,63,1
126,1,,63,1
127,1,,64,0
128,1,,64,0
129,1,,65,1
130,1,,65,1
131,1,,66,1
132,1,,66,1
133,1,,67,0
134,1,,67,0
135,1,,68,1
136,1,,68,0
137,0,no manip,69,0
138,0,no manip,69,0
139,1,,70,1
140,1,,70,0
141,1,,71,1
142,1,,71,1
143,1,,72,0
144,1,,72,0
145,1,,73,1
146,1,,73,1
147,1,,74,-1
148,1,,74,-1
149,1,,75,1
150,1,,75,1
151,1,,76,1
152,1,,76,0
153,1,,77,-1
154,1,,77,0
155,1,,78,1
156,1,,78,0
157,1,,79,1
158,1,,79,0
159,1,,80,1
160,1,,80,1
161,0,no manip,81,0
162,0,no manip,81,0
163,1,,82,1
164,1,,82,1
165,1,,83,1
166,1,,83,-1
167,1,,84,-1
168,1,,84,-1
169,1,,85,0
170,1,,85,0
171,1,,86,1
172,1,,86,1
173,1,,87,0
174,1,,87,-1
175,1,,88,1
176,1,,88,1
177,1,,89,-1
178,1,,89,-1
179,1,,90,1
180,1,,90,1
181,1,,91,1
182,1,,91,1
183,0,no manip,92,0
184,0,no manip,92,0
185,0,no manip,93,0
186,0,no manip,93,0
187,0,no manip,94,0
188,0,no manip,94,0
189,0,no manip,95,0
190,0,no manip,95,0
191,0,no manip,96,0
192,0,no manip,96,0
193,1,,97,-1
194,1,,97,-1
195,1,,98,1
196,1,,98,1
197,1,,99,1
198,1,,99,1
199,1,,100,-1
200,1,,100,-1
201,1,,101,1
202,1,,101,1
203,1,,102,0
204,1,,102,0
205,1,,103,0
206,1,,103,0
207,1,,104,1
208,1,,104,1
209,0,no manip,105,0
210,0,no manip,105,0
211,1,,106,1
212,1,,106,1
213,1,,107,1
214,1,,107,1
215,1,,108,-1
216,1,,108,-1
217,1,,109,1
218,1,,109,1
