index,success,reason,run_num,regression,,,,,,
1,1,,1,1,105.4817933,74.25470875,74.25470875,,,
2,1,,1,1,89.09002685,67.01758127,67.01758127,,,
3,1,,2,1,80.14132362,72.83062978,72.83062978,,,
4,1,,2,1,69.50676896,66.08631795,66.08631795,,,
5,1,,3,1,82.27106659,67.98649298,67.98649298,,,
6,1,,3,1,68.99351521,62.35178383,62.35178383,,,
7,0,no manip,4,0,0,0,0,,,
8,0,no manip,4,0,0,0,0,,,
9,1,,5,1,89.69309003,86.6235603,86.6235603,,,
10,1,,5,1,76.63256578,65.23480279,65.23480279,,,
11,1,,6,1,101.2137891,72.19280379,72.19280379,,,
12,1,slipping,6,1,106.5009541,70.1237141,70.1237141,,,
13,1,,7,1,96.38332781,92.1523551,92.1523551,,,
14,1,,7,1,91.31427974,91.31427974,62.03780744,,,
15,1,,8,1,110.5341746,80.009,80.009,,,
16,1,,8,1,107.6213314,64.814,64.814,,,
17,1,,9,1,94.36567187,74.68508949,74.68508949,,,
18,1,,9,1,105.3894488,68.75249118,68.75249118,,,
19,1,,10,1,100.3951877,71.72707113,71.72707113,,,
20,1,,10,1,91.12246673,66.70451025,66.70451025,,,
21,1,,11,0,42.20468389,71.72707113,71.72707113,,,
22,1,,11,0,3.280463717,66.70451025,66.70451025,,,
23,1,,12,0,72.87916001,75.42657775,75.42657775,,,
24,1,,12,0,70.6457617,62.30909854,62.30909854,,,
25,1,,13,1,110.4875772,58.05638037,58.05638037,,,
26,1,,13,1,111.9429019,72.08256764,72.08256764,,,
27,1,,14,0,85.62947349,82.66885153,82.66885153,,,
28,1,,14,0,83.85579131,75.02183277,75.02183277,,,
29,1,,15,1,57.84793045,68.59034609,68.59034609,,,
30,1,,15,1,49.74894272,68.39832378,68.39832378,,,
31,1,,16,1,70.765,69.55341987,69.55341987,,,
32,1,,16,1,73.658,71.86279434,71.86279434,,,
33,0,no manip,17,0,0,0,0,,,
34,0,no manip,17,0,0,0,0,,,
35,1,,18,1,61.73546167,73.37560413,73.37560413,,,
36,1,,18,1,80.09735862,72.36972828,72.36972828,,,
37,1,,19,1,62.71985205,71.79591206,71.79591206,,,
38,1,,19,1,66.42257994,75.43898501,75.43898501,,,
39,1,,20,-1,70.39873616,64.79048056,64.79048056,,,
40,1,,20,1,63.18350601,72.86749518,72.86749518,,,
41,1,,21,-1,92.32461139,83.7608248,83.7608248,,,
42,1,,21,1,96.2878286,55.59100103,55.59100103,,,
43,1,,22,1,71.51686319,69.26151686,69.26151686,,,
44,1,,22,1,68.09224918,54.35641174,54.35641174,,,
45,1,,23,-1,93.87304361,0,0,,,
46,1,,23,-1,0.016915515,0,0,,,
47,1,,24,1,108.2707368,61.89285828,61.89285828,,,
48,1,slipping,24,1,95.38430344,58.72681864,58.72681864,,,
49,1,,25,1,123.3775726,66.38612464,66.38612464,,,
50,1,slipping,25,1,99.75447269,60.56365166,60.56365166,,,
51,1,,26,1,90.54111656,61.65190963,61.65190963,,,
52,1,,26,-1,75.65910955,49.9147092,49.9147092,,,
53,1,slipping,27,-1,95.73449655,69.05091795,69.05091795,,,
54,0,slip,27,-1,110.03021,0,0,,,
55,1,,28,1,108.1743226,79.42574673,79.42574673,,,
56,1,,28,1,83.38295134,56.95151474,56.95151474,,,
57,1,,29,1,82.09668146,65.63185552,65.63185552,,,
58,1,,29,1,82.51928633,53.76652658,53.76652658,,,
59,1,,30,1,87.63787164,70.0991821,70.0991821,,,
60,1,,30,1,78.01329516,57.53925893,57.53925893,,,
61,1,,31,1,80.77834261,63.68794791,63.68794791,,,
62,1,,31,1,84.05475031,62.57405535,62.57405535,,,
63,1,,32,1,97.17909141,83.3457141,83.3457141,,,
64,1,,32,1,63.46085652,59.74935502,59.74935502,,,
65,1,,33,1,124.1515834,81.92969715,81.92969715,,,
66,1,,33,1,98.51453453,54.11554069,54.11554069,,,
67,1,,34,1,76.00548442,72.196252,72.196252,,,
68,1,,34,1,65.35942257,56.74186591,56.74186591,,,
69,1,,35,1,79.68989058,83.25820814,83.25820814,,,
70,1,,35,1,48.83881064,62.04962295,62.04962295,,,
71,1,,36,1,93.33929533,62.48632491,62.48632491,,,
72,1,,36,1,98.50629229,60.11109131,60.11109131,,,
73,1,,37,1,66.348,74.9129593,74.9129593,,,
74,1,,37,1,56.7531,64.07554089,64.07554089,,,
75,1,,38,1,76.06399378,70.13997762,70.13997762,,,
76,1,,38,1,89.64992296,60.60654568,60.60654568,,,
77,1,,39,1,46.36208607,56.82076716,56.82076716,,,
78,1,slipping,39,-1,86.38246384,50.10238085,50.10238085,,,
79,1,,40,1,51.99067998,67.67790543,67.67790543,,,
80,1,,40,1,14.36473729,52.77216705,52.77216705,,,
81,1,,41,1,60.763,66.96721419,66.96721419,,,
